Tumor_Sample_Barcode,count
TCGA-AN-A046-01,5707
TCGA-AC-A23H-01,4719
TCGA-A8-A0A6-01,3176
TCGA-A2-A0T5-01,1574
TCGA-BH-A18G-01,1517
TCGA-A8-A09Z-01,1438
TCGA-AN-A0AK-01,1317
TCGA-AC-A5XS-01,1083
TCGA-AO-A128-01,1000
TCGA-D8-A27G-01,988
TCGA-D8-A1XK-01,968
TCGA-D8-A1JA-01,943
TCGA-BH-A0HF-01,929
TCGA-BH-A0B6-01,830
TCGA-AO-A03M-01,786
TCGA-D8-A1XQ-01,746
TCGA-D8-A1J8-01,740
TCGA-C8-A26Y-01,697
TCGA-AO-A12E-01,646
TCGA-BH-A0DZ-01,520
TCGA-A8-A07R-01,486
TCGA-BH-A0HP-01,450
TCGA-PE-A5DE-01,433
TCGA-BH-A2L8-01,416
TCGA-EW-A1J5-01,413
TCGA-GM-A2D9-01,396
TCGA-A7-A26E-01,379
TCGA-E2-A10C-01,357
TCGA-A2-A0T0-01,335
TCGA-EW-A1IZ-01,327
TCGA-AR-A2LE-01,315
TCGA-BH-A18P-01,315
TCGA-BH-A0HA-01,304
TCGA-C8-A1HM-01,300
TCGA-A7-A13E-01,297
TCGA-AR-A0TX-01,289
TCGA-A7-A56D-01,288
TCGA-AC-A3W6-01,273
TCGA-A8-A09G-01,244
TCGA-AC-A3TN-01,233
TCGA-D8-A27V-01,229
TCGA-BH-A0BZ-01,224
TCGA-AN-A0XW-01,224
TCGA-A7-A13D-01,220
TCGA-A8-A06Q-01,218
TCGA-D8-A1Y1-01,217
TCGA-A7-A5ZV-01,216
TCGA-A7-A26J-01,215
TCGA-A2-A0EY-01,212
TCGA-A7-A4SE-01,210
TCGA-A7-A0CE-01,208
TCGA-BH-A0HK-01,207
TCGA-A2-A0CX-01,204
TCGA-A8-A08L-01,203
TCGA-A2-A3Y0-01,200
TCGA-A2-A0YK-01,197
TCGA-A1-A0SI-01,195
TCGA-E2-A1IN-01,194
TCGA-A8-A06X-01,193
TCGA-E2-A15I-01,193
TCGA-C8-A274-01,193
TCGA-AR-A256-01,187
TCGA-BH-A18V-01,184
TCGA-D8-A1JK-01,181
TCGA-AN-A0FL-01,181
TCGA-C8-A3M7-01,180
TCGA-A8-A094-01,179
TCGA-BH-A0W7-01,177
TCGA-OL-A5RW-01,174
